hour_of_day,avg_temp
0,25.52261904761905
1,24.514285714285705
2,24.050000000000004
3,25.615833333333338
4,25.722444444444445
5,24.86627906976743
6,26.160909090909094
7,23.16905660377358
8,24.922244897959185
9,24.972571428571435
10,26.29527777777778
11,24.58073170731707
12,24.907187499999996
13,23.599999999999994
14,25.821538461538463
15,26.36657142857143
16,23.31977272727273
17,25.654772727272732
18,25.74142857142857
19,24.422439024390243
20,24.709750000000007
21,25.716511627906982
22,24.170263157894738
23,26.53714285714285
